no.peserta,tahun,jenis.kelamin,kode.asal,kode.pendidikan,pendidikan,skd.twk,skd.tiu,skd.tkp,skd.total,skd.hasil,kode.prodi,nama.prodi,kode.formasi,lokasi.formasi,
S2440160111900673,2024,L,19,3001000,SMA,100,140,178,418,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160123210006,2024,P,32,3001000,SMA,115,110,191,416,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160123315129,2024,P,33,3001000,SMA,75,145,192,412,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900093,2024,P,19,3001000,SMA,65,140,206,411,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121604827,2024,P,16,3001000,SMA,100,125,186,411,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900370,2024,P,19,3001000,SMA,65,150,191,406,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900318,2024,P,19,3001000,SMA,90,125,191,406,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160123506208,2024,P,35,3001000,SMA,85,130,190,405,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121602621,2024,P,16,3001000,SMA,70,135,197,402,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900291,2024,L,19,3001000,SMA,80,140,182,402,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111203682,2024,L,12,3001000,SMA,95,110,196,401,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111207479,2024,L,12,3001000,SMA,80,135,186,401,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900958,2024,P,19,3001000,SMA,85,120,195,400,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121400643,2024,P,14,3001000,SMA,85,125,190,400,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121601714,2024,P,16,3002000,MA,90,120,189,399,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900727,2024,L,19,3001000,SMA,70,135,193,398,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111608733,2024,L,16,3001000,SMA,85,125,188,398,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121209714,2024,P,12,3001000,SMA,85,125,187,397,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900792,2024,P,19,3001000,SMA,115,90,190,395,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900541,2024,P,19,3001000,SMA,100,115,179,394,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121306747,2024,P,13,3001000,SMA,65,130,198,393,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900152,2024,P,19,3001000,SMA,65,140,188,393,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900972,2024,P,19,3001000,SMA,80,120,190,390,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900949,2024,P,19,3001000,SMA,90,115,185,390,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121606102,2024,P,16,3001000,SMA,75,120,194,389,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111901197,2024,L,19,3001000,SMA,80,115,192,387,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121803727,2024,P,18,3001000,SMA,70,130,186,386,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160113102259,2024,L,31,3001000,SMA,85,110,190,385,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160123400122,2024,P,34,3001000,SMA,85,120,179,384,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160123212938,2024,P,32,3001000,SMA,85,115,183,383,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160113208461,2024,L,32,3001000,SMA,75,110,197,382,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111600997,2024,L,16,3002000,MA,75,120,187,382,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900820,2024,P,19,3001000,SMA,85,110,184,379,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121302259,2024,P,13,3001000,SMA,65,135,178,378,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900280,2024,P,19,3001000,SMA,85,110,181,376,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121217821,2024,P,12,3001000,SMA,75,105,193,373,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900921,2024,P,19,3002000,MA,100,95,177,372,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121502569,2024,P,15,3001000,SMA,80,110,180,370,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121901014,2024,P,19,3001000,SMA,75,115,179,369,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121208881,2024,P,12,3001000,SMA,70,100,196,366,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900802,2024,L,19,3001000,SMA,65,110,190,365,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900499,2024,L,19,3001000,SMA,70,105,187,362,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111302240,2024,L,13,3001000,SMA,65,115,178,358,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111209440,2024,L,12,3001000,SMA,70,110,177,357,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900394,2024,P,19,3001000,SMA,85,90,180,355,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900895,2024,P,19,3002000,MA,85,100,170,355,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900138,2024,P,19,3002000,MA,70,100,184,354,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900451,2024,L,19,3001000,SMA,90,90,172,352,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
